CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,EXISTE CICLOVÍA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA
A-2021-01-23,01/01/2021,04:40,DESPISTE,1,0,1,LIMA,HUARAL,HUARAL,RURAL,CARRETERA,VECINAL,LM-671,NO,-11.482879238488099,-77.25554675971524,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-01-248,01/01/2021,05:45,DESPISTE,1,3,0,LIMA,LIMA,PACHACAMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.2294,-76.859412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-38,01/01/2021,06:00,ATROPELLO FUGA,2,0,,LA LIBERTAD,VIRU,VIRU,URBANA,CARRETERA,VECINAL,LI-1150,NO,-8.414865,-78.754544,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-01-39,01/01/2021,07:00,CHOQUE,1,0,2,LA LIBERTAD,VIRU,VIRU,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-8.432617,-78.772242,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE
A-2021-01-254,01/01/2021,14:00,ATROPELLO,1,1,0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.164406,-76.953426,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-22,01/01/2021,17:45,CHOQUE,1,1,2,SAN MARTIN,RIOJA,RIOJA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,NO,-6.063829,-77.171368,LLUVIOSO,COMERCIAL,INTERSECCIÓN,PLANA ,CONCRETO,SI,REGULADORA (R),INFORMATIVA (I),SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO
A-2021-01-67,01/01/2021,21:00,CHOQUE CON OBJETO FIJO,1,0,1,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-6.680472,-79.903582,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,NO IDENTIFICA LA CAUSA,
A-2022-01-221,01/01/2022,04:30,CHOQUE,1,1,2,CUSCO,ESPINAR,ALTO PICHIGUA,URBANA,CARRETERA,NACIONAL,PE-34F,NO,-14.73723063652993,-71.32631439224909,NUBLADO,RURAL,CURVA,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2022-01-69,01/01/2022,06:04,DESPISTE,1,0,0,LIMA,LIMA,LA MOLINA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.063661,-76.952232,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-01-53,01/01/2022,06:30,DESPISTE,1,1,1,CAJAMARCA,CHOTA,CHIMBAN,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-6.282066,-78.481812,DESPEJADO,RURAL,CURVA,INCLINADA,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2022-01-154,01/01/2022,09:00,DESPISTE,1,0,1,LA LIBERTAD,TRUJILLO,HUANCHACO,URBANA,OTRO,URBANO,NO CORRESPONDE,NO,-8.0816026258135,-79.11600389190302,DESPEJADO,RESIDENCIAL,PUENTE,PLANA ,CONCRETO,,,,,NO IDENTIFICA LA CAUSA,
A-2022-01-1,01/01/2022,18:30,DESPISTE,3,3,,ANCASH,CORONGO,CORONGO,RURAL,CARRETERA,VECINAL,AN-514,,-8.575619341484126,-77.91582947335122,,,,,,,,,,,
A-2022-01-296,01/01/2022,18:57,ATROPELLO,1,2,1,JUNIN,HUANCAYO,HUANCAN,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-12.110581,-75.216347,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2022-01-70,01/01/2022,23:00,ATROPELLO,1,0,0,LIMA,LIMA,PACHACAMAC,URBANA,CARRETERA,VECINAL,LM-796,NO,-12.104026430763831,-76.87641783945658,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-01-294,01/01/2022,23:05,CHOQUE,1,0,1,JUNIN,HUANCAYO,HUAYUCACHI,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-12.147337,-75.235731,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-01-12,01/01/2023,04:00,DESPISTE,1,7,1,ANCASH,HUARI,SAN PEDRO DE CHANA,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-9.495609172959885,-77.01415419552762,DESPEJADO,RURAL,CURVA,INCLINADA,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-01-130,01/01/2023,04:30,CHOQUE,1,0,,LIMA,LIMA,LURIGANCHO,URBANA,CARRETERA,NACIONAL,PE-22,NO,-12.02115428,-76.92843602,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-01-26,01/01/2023,05:30,DESPISTE,2,4,1,LA LIBERTAD,GRAN CHIMU,MARMOT,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-7.6948312,-78.6465637,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2023-01-20,01/01/2023,06:00,DESPISTE,1,0,1,ICA,ICA,SAN JOSE DE LOS MOLINOS,URBANA,CARRETERA,NACIONAL,PE-1SC,NO,-13.945351,-75.680238,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-01-109,01/01/2023,07:10,DESPISTE,1,0,1,MOQUEGUA,ILO,PACOCHA,RURAL,CARRETERA,NACIONAL,PE-1SD,NO,-17.54765,-71.361506,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
