CODIGO_SINIESTRO,CODIGO_VEHICULO,CODIGO_PERSONA,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_PERSONA,GRAVEDAD,LUGAR_ATENCION_LESIONADO,LUGAR_DE_DEFUNCION,SITUACION_DE_PERSONA,PAIS_DE_NACIONALIDAD,EDAD,SEXO,POSEE_LICENCIA,ESTADO_LICENCIA,CLASE_LICENCIA,SE_SOMETIO_A_DOSAJE_ETILICO_CUALITATIVO,RESULTADO_DEL_DOSAJE_ETILICO_CUALITATIVO,SE_SOMETIO_A_DOSAJE_ETILICO_CUANTITATIVO,VEHICULO,FECHA,ANIO,MES,DIA,HORA,CLASE_DE_SINIESTRO,CAUSA,CAUSA_ESPECIFICA,TIPO_DE_VIA,CODIGO_DE_CARRETERA,RED_VIAL
A-2021-01-141,V-2021-01-141-1,P-2021-01-141-1-2,APURIMAC,ABANCAY,ABANCAY,PASAJERO,LESIONADO,,,IDENTIFICADO,,20,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,MOTOCICLETA,17/01/2021,2021,ENERO,DOMINGO,16,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO,CARRETERA DEPARTAMENTAL,AP-103,DEPARTAMENTAL
A-2021-01-177,V-2021-01-177-1,P-2021-01-177-1-3,ICA,ICA,SANTIAGO,OCUPANTE,LESIONADO,,,IDENTIFICADO,,35,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIONETA PICK UP,21/01/2021,2021,ENERO,JUEVES,16,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE NEUMÁTICOS,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-177,V-2021-01-177-1,P-2021-01-177-1-4,ICA,ICA,SANTIAGO,OCUPANTE,LESIONADO,,,IDENTIFICADO,,7,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIONETA PICK UP,21/01/2021,2021,ENERO,JUEVES,16,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE NEUMÁTICOS,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-177,V-2021-01-177-1,P-2021-01-177-1-5,ICA,ICA,SANTIAGO,OCUPANTE,LESIONADO,,,IDENTIFICADO,,13,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIONETA PICK UP,21/01/2021,2021,ENERO,JUEVES,16,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE NEUMÁTICOS,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-186,V-2021-01-186-1,P-2021-01-186-1-3,AREQUIPA,AREQUIPA,PAUCARPATA,CONDUCTOR FUGADO,ILESO,,,IDENTIFICADO,PERÚ,30,MASCULINO,SE DESCONOCE,SIN LICENCIA,SIN LICENCIA,,NO SE REALIZO,NO,MOTOCICLETA,24/01/2021,2021,ENERO,DOMINGO,19,ATROPELLO FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-198,V-2021-01-198-1,P-2021-01-198-1-1,CUSCO,CANCHIS,MARANGANI,PEATÓN,FALLECIDO,,,IDENTIFICADO,PERÚ,62,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,23/01/2021,2021,ENERO,SÁBADO,23,ATROPELLO FUGA,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),CARRETERA VECINAL,CU-1421,VECINAL
A-2021-01-232,V-2021-01-232-1,P-2021-01-232-1-2,PUNO,SAN ROMAN,CABANA,PASAJERO,FALLECIDO,,,IDENTIFICADO,PERÚ,15,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,MOTOCICLETA,11/01/2021,2021,ENERO,LUNES,13,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),CARRETERA NACIONAL,PE-34A,NACIONAL
A-2021-01-258,V-2021-01-258-1,P-2021-01-258-1-2,LIMA,LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,NO IDENTIFICADO,,NO INDICA,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,03/01/2021,2021,ENERO,DOMINGO,0,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-271,V-2021-01-271-1,P-2021-01-271-1-2,LIMA,LIMA,LOS OLIVOS,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,68,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,MOTOCICLETA,23/01/2021,2021,ENERO,SÁBADO,13,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-29,V-2021-01-29-1,P-2021-01-29-1-2,APURIMAC,AYMARAES,COTARUSE,PEATÓN,FALLECIDO,,,IDENTIFICADO,,4,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,REMOLCADOR,05/01/2021,2021,ENERO,MARTES,17,ATROPELLO,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),CARRETERA NACIONAL,PE-30A,NACIONAL
A-2021-01-345,V-2021-01-345-2,P-2021-01-345-2-1,AREQUIPA,CARAVELI,CHAPARRA,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,31/01/2021,2021,ENERO,DOMINGO,2,CHOQUE,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-01-36,V-2021-01-36-1,P-2021-01-36-1-1,ANCASH,SANTA,CHIMBOTE,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,51,MASCULINO,SE DESCONOCE,VIGENTE,A II B,,NO SE REALIZO,,STATION WAGON,02/01/2021,2021,ENERO,SÁBADO,21,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-36,V-2021-01-36-1,P-2021-01-36-1-2,ANCASH,SANTA,CHIMBOTE,PEATÓN,FALLECIDO,,,IDENTIFICADO,,75,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,STATION WAGON,02/01/2021,2021,ENERO,SÁBADO,21,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,AVENIDA,NO CORRESPONDE,URBANO
A-2021-01-37,V-2021-01-37-1,P-2021-01-37-1-1,ANCASH,CASMA,CASMA,CONDUCTOR,ILESO,,,IDENTIFICADO,,34,MASCULINO,SE DESCONOCE,VIGENTE,A II B,,NO SE REALIZO,,CAMIÓN,04/01/2021,2021,ENERO,LUNES,7,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-01-37,V-2021-01-37-2,P-2021-01-37-2-1,ANCASH,CASMA,CASMA,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,19,MASCULINO,SE DESCONOCE,SIN LICENCIA,SIN LICENCIA,,NO SE REALIZO,,TRIMOTO PASAJERO,04/01/2021,2021,ENERO,LUNES,7,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-01-37,V-2021-01-37-2,P-2021-01-37-2-2,ANCASH,CASMA,CASMA,PASAJERO,FALLECIDO,,,IDENTIFICADO,PERÚ,34,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,TRIMOTO PASAJERO,04/01/2021,2021,ENERO,LUNES,7,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-01-37,V-2021-01-37-2,P-2021-01-37-2-3,ANCASH,CASMA,CASMA,PASAJERO,LESIONADO,,,IDENTIFICADO,PERÚ,58,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,TRIMOTO PASAJERO,04/01/2021,2021,ENERO,LUNES,7,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,GIRAR IMPRUDENTEMENTE,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-01-43,V-2021-01-43-1,P-2021-01-43-1-1,ANCASH,SANTA,SANTA,CONDUCTOR,ILESO,,,IDENTIFICADO,,27,MASCULINO,SE DESCONOCE,VIGENTE,A II B,,NO SE REALIZO,,AUTOMÓVIL,07/01/2021,2021,ENERO,JUEVES,19,ATROPELLO,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-01-43,V-2021-01-43-1,P-2021-01-43-1-2,ANCASH,SANTA,SANTA,PEATÓN,FALLECIDO,,,IDENTIFICADO,PERÚ,56,MASCULINO,SE DESCONOCE,VIGENTE,A II B,,NO SE REALIZO,,AUTOMÓVIL,07/01/2021,2021,ENERO,JUEVES,19,ATROPELLO,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-01-44,V-2021-01-44-1,P-2021-01-44-1-2,PIURA,SULLANA,MIGUEL CHECA,OCUPANTE,LESIONADO,,,IDENTIFICADO,,21,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,MOTOCICLETA,02/01/2021,2021,ENERO,SÁBADO,22,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,CARRETERA DEPARTAMENTAL,PI-102,DEPARTAMENTAL
A-2021-01-44,V-2021-01-44-2,P-2021-01-44-2-1,PIURA,SULLANA,MIGUEL CHECA,CONDUCTOR,LESIONADO,,,IDENTIFICADO,PERÚ,25,MASCULINO,SE DESCONOCE,VIGENTE,B,,NO SE REALIZO,,MOTOCICLETA,02/01/2021,2021,ENERO,SÁBADO,22,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,CARRETERA DEPARTAMENTAL,PI-102,DEPARTAMENTAL
A-2021-01-44,V-2021-01-44-2,P-2021-01-44-2-2,PIURA,SULLANA,MIGUEL CHECA,OCUPANTE,LESIONADO,,,IDENTIFICADO,,31,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,MOTOCICLETA,02/01/2021,2021,ENERO,SÁBADO,22,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,CARRETERA DEPARTAMENTAL,PI-102,DEPARTAMENTAL
A-2021-02-111,V-2021-02-111-1,P-2021-02-111-1-1,PIURA,PIURA,CASTILLA,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,17/02/2021,2021,FEBRERO,MIÉRCOLES,17,ATROPELLO FUGA,N/I,N/I,CARRETERA NACIONAL,PE-1NJ,NACIONAL
A-2021-02-112,V-2021-02-112-2,P-2021-02-112-2-1,PIURA,SULLANA,SULLANA,CONDUCTOR,NO SE CONOCE,,,NO IDENTIFICADO,PERÚ,NO INDICA,NO INDICA,SE DESCONOCE,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,,NO SE REALIZO,,CAMIÓN,17/02/2021,2021,FEBRERO,MIÉRCOLES,13,ATROPELLO,N/I,N/I,CARRETERA VECINAL,PI-986,VECINAL
A-2021-02-17,V-2021-02-17-1,P-2021-02-17-1-1,LIMA,CAJATAMBO,MANAS,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,51,MASCULINO,SE DESCONOCE,VIGENTE,A I,,NO SE REALIZO,,OTRO,05/02/2021,2021,FEBRERO,VIERNES,14,ATROPELLO,NO IDENTIFICA LA CAUSA,N/I,CARRETERA DEPARTAMENTAL,LM-112,DEPARTAMENTAL
