CODIGO_SINIESTRO,CODIGO_VEHICULO,DEPARTAMENTO,PROVINCIA,DISTRITO,SITUACION_VEHICULO,ESTADO_MODALIDAD,MODALIDAD_DE_TRANSPORTE,ELEMENTO_TRANSPORTADO,AMBITO_SERVICIO,POSEE_SEGURO,ESTADO_SOAT,TIPO_SEGURO,COMPANIA_SEGURO,POSEE_CITV,ESTADO_CITV,LUGAR_IMPACTO_VEHICULO,VEHICULO,TIPO_SINIESTRO,FECHA,ANO,MES,DIA,HORA,CODIGO_DE_CARRETERA,TIPO_DE_VIA
A-2021-01-108,V-2021-01-108-1,ICA,NASCA,MARCONA,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,CHOQUE,11/01/2021,2021,ENERO,LUNES,10,IC-824,CARRETERA
A-2021-01-108,V-2021-01-108-2,ICA,NASCA,MARCONA,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,MAPFRE,,VENCIDO,,CAMIONETA PICK UP,CHOQUE,11/01/2021,2021,ENERO,LUNES,10,IC-824,CARRETERA
A-2021-01-109,V-2021-01-109-1,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,IDENTIFICADO,NO CORRESPONDE,CARGA,CARGA Y/O MERCANCÍAS,DISTRITAL,,VIGENTE,,OTROS,,NO REGISTRA,FRONTAL-CENTRO,CAMIÓN,ATROPELLO,10/01/2021,2021,ENERO,DOMINGO,2,PE-1NJ,CARRETERA
A-2021-01-114,V-2021-01-114-1,SAN MARTIN,RIOJA,POSIC,IDENTIFICADO,HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,VOLCADURA,14/01/2021,2021,ENERO,JUEVES,0,SM-114,CARRETERA
A-2021-01-119,V-2021-01-119-1,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,VIGENTE,,AUTOMÓVIL,DESPISTE,12/01/2021,2021,ENERO,MARTES,12,MO-103,CARRETERA
A-2021-01-120,V-2021-01-120-1,CAJAMARCA,HUALGAYOC,BAMBAMARCA,IDENTIFICADO,NO CORRESPONDE,CARGA,,,,VIGENTE,,OTROS,,VIGENTE,,CAMIÓN,CHOQUE,16/01/2021,2021,ENERO,SÁBADO,16,PE-3N,CARRETERA
A-2021-01-120,V-2021-01-120-2,CAJAMARCA,HUALGAYOC,BAMBAMARCA,IDENTIFICADO,NO CORRESPONDE,PUBLICO URBANO,,,,NO REGISTRA,,,,NO REGISTRA,,TRIMOTO PASAJERO,CHOQUE,16/01/2021,2021,ENERO,SÁBADO,16,PE-3N,CARRETERA
A-2021-01-121,V-2021-01-121-1,CAJAMARCA,HUALGAYOC,BAMBAMARCA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO REGISTRA,,,,NO APLICA,,MOTOCICLETA,DESPISTE,17/01/2021,2021,ENERO,DOMINGO,4,PE-3N,CARRETERA
A-2021-01-122,V-2021-01-122-1,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,IDENTIFICADO,NO HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,BICICLETA,CHOQUE,12/01/2021,2021,ENERO,MARTES,11,PE-1NJ,CARRETERA
A-2021-01-122,V-2021-01-122-2,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,OTROS,,NO REGISTRA,,CAMIÓN,CHOQUE,12/01/2021,2021,ENERO,MARTES,11,PE-1NJ,CARRETERA
A-2021-01-122,V-2021-01-122-3,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,IDENTIFICADO,NO HABILITADO,PUBLICO URBANO,,,,NO REGISTRA,,,,NO REGISTRA,,TRIMOTO PASAJERO,CHOQUE,12/01/2021,2021,ENERO,MARTES,11,PE-1NJ,CARRETERA
A-2021-01-123,V-2021-01-123-1,HUANUCO,LEONCIO PRADO,LUYANDO,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,LA POSITIVA,,VIGENTE,,REMOLCADOR-SEMIREMOLQUE,CHOQUE,17/01/2021,2021,ENERO,DOMINGO,23,PE-18A,CARRETERA
A-2021-01-123,V-2021-01-123-2,HUANUCO,LEONCIO PRADO,LUYANDO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,CHOQUE,17/01/2021,2021,ENERO,DOMINGO,23,PE-18A,CARRETERA
A-2021-01-125,V-2021-01-125-1,SAN MARTIN,HUALLAGA,SACANCHE,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,NO REGISTRA,FRONTAL-CENTRO,AUTOMÓVIL,CHOQUE,14/01/2021,2021,ENERO,JUEVES,19,PE-5N,CARRETERA
A-2021-01-125,V-2021-01-125-2,SAN MARTIN,HUALLAGA,SACANCHE,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,OTROS,,NO REGISTRA,,TRIMOTO PASAJERO,CHOQUE,14/01/2021,2021,ENERO,JUEVES,19,PE-5N,CARRETERA
A-2021-01-129,V-2021-01-129-1,CALLAO,CALLAO,CALLAO,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,MAPFRE,,VIGENTE,,REMOLCADOR-SEMIREMOLQUE,CAÍDA DE PASAJERO,17/01/2021,2021,ENERO,DOMINGO,8,PE-20,CARRETERA
A-2021-01-131,V-2021-01-131-1,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,IDENTIFICADO,NO HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO APLICA,,AUTOMÓVIL,DESPISTE,18/01/2021,2021,ENERO,LUNES,6,PE-5N,CARRETERA
A-2021-01-138,V-2021-01-138-1,AMAZONAS,BONGARA,CHURUJA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO REGISTRA,,MOTOCICLETA,CHOQUE FUGA,17/01/2021,2021,ENERO,DOMINGO,16,PE-08C,CARRETERA
A-2021-01-138,V-2021-01-138-2,AMAZONAS,BONGARA,CHURUJA,FUGADO,,,,,,,,,,,,AUTOMÓVIL,CHOQUE FUGA,17/01/2021,2021,ENERO,DOMINGO,16,PE-08C,CARRETERA
A-2021-01-139,V-2021-01-139-1,APURIMAC,ABANCAY,TAMBURCO,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NACIONAL,,VIGENTE,,LA POSITIVA,,VIGENTE,CENTRO-IZQUIERDA,REMOLCADOR-SEMIREMOLQUE,CHOQUE,14/01/2021,2021,ENERO,JUEVES,18,PE-3S,CARRETERA
A-2021-01-139,V-2021-01-139-2,APURIMAC,ABANCAY,TAMBURCO,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,PROVINCIAL,,VIGENTE,,LA POSITIVA,,VIGENTE,FRONTAL-CENTRO,TRIMOTO CARGA,CHOQUE,14/01/2021,2021,ENERO,JUEVES,18,PE-3S,CARRETERA
A-2021-01-140,V-2021-01-140-1,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,MAPFRE,,VIGENTE,,STATION WAGON,CHOQUE,11/01/2021,2021,ENERO,LUNES,10,PE-36A,CARRETERA
